Deployment testing with 25 machines per iteration for lab Turing
Iteration,Successful,Failed, Time (s), Time (m)
1,25,0,661,11
2,25,0,240,4
3,25,0,240,4
4,24,1,240,4
5,25,0,240,4
6,25,0,240,4
7,25,0,241,4
8,25,0,240,4
9,25,0,240,4
10,24,1,240,4
Average deployment time (s)282.84990000000005
Average deployment time (m) 4.714165
