Deployment testing with 25 machines per iteration for lab Waira 2
Iteration,Successful,Failed, Time (s), Time (m)
1,25,0,722,12
2,24,1,721,12
3,23,2,721,12
4,24,1,961,16
5,25,0,240,4
6,25,0,240,4
7,25,0,240,4
8,25,0,240,4
9,25,0,240,4
10,25,0,240,4
Average deployment time (s)457.02290000000005
Average deployment time (m) 7.617048333333334
